id,journal,year,paper_title,doi,artifact,number,pdf_page,title,type,formal_page,source_pdf,replication_link,supplement_link,code_status,access_method,rights_note,crop_mode,label_detection,perceptual_hash,width_px,height_px,image
APSR-F-001,APSR,2026,A New Measure of Affective Polarization,10.1017/s0003055425000255,figure,2,13,"APS, Subdimensions, and Warmth Bias Predicting Anti-Democratic Attitudes",coefficient-forest,https://doi.org/10.1017/s0003055425000255,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DEF7FCC26D4F09BDE5603BCC02B4765D/S0003055425000255a.pdf/div-class-title-a-new-measure-of-affective-polarization-div.pdf,https://doi.org/10.7910/DVN/YMKFPZ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,3337333737333307,1436,1735,figures/APSR/APSR-F-001.png
APSR-F-002,APSR,2026,A New Measure of Affective Polarization,10.1017/s0003055425000255,figure,4,15,Marginal Effects of APS and Subdimensions,marginal-predicted,https://doi.org/10.1017/s0003055425000255,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DEF7FCC26D4F09BDE5603BCC02B4765D/S0003055425000255a.pdf/div-class-title-a-new-measure-of-affective-polarization-div.pdf,https://doi.org/10.7910/DVN/YMKFPZ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,2317973313139383,1436,1007,figures/APSR/APSR-F-002.png
APSR-F-003,APSR,2026,Attitudinal and Behavioral Legacies of Wartime Violence: A Meta-Analysis,10.1017/s0003055425101299,figure,1,8,Descriptive Overview of Studies on the Attitudinal and Behavioral Consequences of Wartime Violence,coefficient-forest,https://doi.org/10.1017/s0003055425101299,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0E2A4B25C8E2760CD985618FD3A54C1A/S0003055425101299a.pdf/div-class-title-attitudinal-and-behavioral-legacies-of-wartime-violence-a-meta-analysis-div.pdf,https://doi.org/10.7910/DVN/BPVYFD,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,191786351912161c,1436,1735,figures/APSR/APSR-F-003.png
APSR-F-004,APSR,2026,"Black Troops, White Rage, and Political Violence in the Postbellum American South",10.1017/s0003055424001187,figure,1,8,"Black Federal Troops in the American South, 1865-1866",map-spatial,https://doi.org/10.1017/s0003055424001187,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B6AB2CA8F0FF16CDAADAE6FE20C1852A/S0003055424001187a.pdf/div-class-title-black-troops-white-rage-and-political-violence-in-the-postbellum-american-south-div.pdf,https://doi.org/10.7910/DVN/PZCXQZ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,463e7841660e3e53,1436,1735,figures/APSR/APSR-F-004.png
APSR-F-005,APSR,2026,"Black Troops, White Rage, and Political Violence in the Postbellum American South",10.1017/s0003055424001187,figure,5,12,Effects of Past White and Black Troop Occupation on Lynching Over Time,time-series,https://doi.org/10.1017/s0003055424001187,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/B6AB2CA8F0FF16CDAADAE6FE20C1852A/S0003055424001187a.pdf/div-class-title-black-troops-white-rage-and-political-violence-in-the-postbellum-american-south-div.pdf,https://doi.org/10.7910/DVN/PZCXQZ,,exact-source,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,13028b9bca4b4a23,1436,1028,figures/APSR/APSR-F-005.png
APSR-F-006,APSR,2026,Causal Panel Analysis under Parallel Trends: Lessons from a Large Reanalysis Study,10.1017/s0003055425000243,figure,1,4,Toy Examples: TWFE Assumptions Satisfied vs. Violated 20,design-theory,https://doi.org/10.1017/s0003055425000243,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/219275E0CE901F099F2CFFBA07079243/S0003055425000243a.pdf/div-class-title-causal-panel-analysis-under-parallel-trends-lessons-from-a-large-reanalysis-study-div.pdf,https://doi.org/10.7910/DVN/9RJFZF,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,4d12332596136547,1436,1400,figures/APSR/APSR-F-006.png
APSR-F-007,APSR,2026,Causal Panel Analysis under Parallel Trends: Lessons from a Large Reanalysis Study,10.1017/s0003055425000243,figure,5,15,Event-Study Plots w/ Imputation Estimator,event-study,https://doi.org/10.1017/s0003055425000243,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/219275E0CE901F099F2CFFBA07079243/S0003055425000243a.pdf/div-class-title-causal-panel-analysis-under-parallel-trends-lessons-from-a-large-reanalysis-study-div.pdf,https://doi.org/10.7910/DVN/9RJFZF,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-fixed-figure-window,uppercase-label,150d5d4351115307,1436,1735,figures/APSR/APSR-F-007.png
APSR-F-008,APSR,2026,"Claimability in International Relations: Oil Discoveries, Territorial Claims, and Interstate Conflicts",10.1017/s0003055425101366,figure,2,8,Claimable and Disputable Areas in 2012,map-spatial,https://doi.org/10.1017/s0003055425101366,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4143DB2929EA35AAAFEAA7BAF5E1016F/S0003055425101366a.pdf/div-class-title-claimability-in-international-relations-oil-discoveries-territorial-claims-and-interstate-conflicts-div.pdf,https://doi.org/10.7910/DVN/DYKFEK,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,111356547a1b4b03,1436,848,figures/APSR/APSR-F-008.png
APSR-F-009,APSR,2026,"Claimability in International Relations: Oil Discoveries, Territorial Claims, and Interstate Conflicts",10.1017/s0003055425101366,figure,3,9,Directed Acyclic Graph,network-flow,https://doi.org/10.1017/s0003055425101366,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4143DB2929EA35AAAFEAA7BAF5E1016F/S0003055425101366a.pdf/div-class-title-claimability-in-international-relations-oil-discoveries-territorial-claims-and-interstate-conflicts-div.pdf,https://doi.org/10.7910/DVN/DYKFEK,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,23099496535497a3,1436,504,figures/APSR/APSR-F-009.png
APSR-F-010,APSR,2026,"Claimability in International Relations: Oil Discoveries, Territorial Claims, and Interstate Conflicts",10.1017/s0003055425101366,figure,8,20,Legislators’ Mentions of the East China Sea in the National Diet,time-series,https://doi.org/10.1017/s0003055425101366,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4143DB2929EA35AAAFEAA7BAF5E1016F/S0003055425101366a.pdf/div-class-title-claimability-in-international-relations-oil-discoveries-territorial-claims-and-interstate-conflicts-div.pdf,https://doi.org/10.7910/DVN/DYKFEK,,not-found,lawful open-access repository or publisher OA page,Local scholarly-review excerpt; copyright remains with the publisher/authors. Not included in the portable skill archive.,heading-through-note,uppercase-label,71301e0f3c28ac07,1436,940,figures/APSR/APSR-F-010.png
